labels	text	cls
O O O B_LOC I_LOC O O O	als Teil der Savoyer Voralpen im Osten .	False
O B_PER I_PER I_PER	WEITERLEITUNG Antonina Wladimirowna Kriwoschapka	False
O O B_PER I_PER O O	** '' Lou Salomé '' .	False
O O B_ORG I_ORG I_ORG O O O O B_ORG I_ORG I_ORG O O O O O O O O O O B_ORG I_ORG O	Spieler vom SKA Sankt Petersburg ausgewählt sowie anschließend im NHL Entry Draft in der ersten Runde als insgesamt zehnter Spieler von den Minnesota Wild .	False
B_PER I_PER O O O	Jaan Kirsipuu 74 P .	False
O B_PER I_PER I_PER	Weiterleitung René Schick Gutiérrez	False
O O O B_ORG O O	*** ' '' Brandenburg '' '	False
O O B_LOC O O	' '' Bagan '' '	False
O O B_PER I_PER	Gedenktafel für Andrej Sládkovič	False
O O O O O O B_LOC O O	Friedrichsaue]] '' ' , ' '' Zechin '' '	False
B_ORG I_ORG I_ORG	Transports publics Vevey–Montreux–Chillon–Villeneuve	False
O B_LOC O O O O	Bedeutende österreichische Schlossparke gehören z .	False
O O O O O B_ORG O	Seinen Militärdienst beendete er als Fähnrich .	False
O B_PER I_PER I_PER I_PER	1283–1287 Jean I. de Grailly	False
O O O O O O B_PER O B_PER I_PER O O O O	Er stand unter anderem zusammen mit Capleton und Bounty Killer auf einer Bühne .	False
O O O O B_ORG I_ORG I_ORG O O O O O O O	2001 kam er zu SV Austria Salzburg , wo er zwei Spiele absolvierte .	False
B_ORG I_ORG O B_LOC O B_LOC	York University , Toronto , Kanada	False
O O B_LOC I_LOC O O	' '' Aksumitisches Reich '' '	False
O O O B_LOC O O O	de:3:57,22 min , Bukarest , 1 .	False
O O O O O B_PER I_PER O O	In dieser Zeit lernte er Goze Deltschew kennen .	False
O O O B_PER I_PER O	Die Hauptrolle übernahm Heinz Erhardt .	False
B_ORG I_ORG I_ORG I_ORG I_ORG	United States Army Signal Corps	False
O O O B_LOC O O	*** ' '' Hessen-Kassel '' '	False
O O O B_ORG I_ORG O O O O O O O O	Währenddessen hat des Weiße Haus den Befehl gegeben , US-Bürger zu evakuieren .	False
O O O O O O O B_PER I_PER O B_PER I_PER O	Dort unterlagen sie trotz Führung den Israelis Jonathan Erlich und Andy Ram .	False
