labels	text	cls
B_ORG I_ORG O B_ORG I_ORG I_ORG O O O O O	R.H. Saunders ( St. Lawrence River ) ( 968 MW )	False
O O O B_PER I_PER O O	; ' '' Anders Lindström '' '	False
B_PER I_PER I_PER O O O O	Karl Ove Knausgård ( born 1968 )	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Atlantic City , New Jersey	False
O O O O O O O B_PER I_PER O O O O O O O O O O O O O O O O O O B_PER I_PER O B_PER I_PER O O O O	Her daughter from the second marriage was Marie d'Agoult ( 1805–1876 ) , who in turn gave birth to several children , among them—from her liaison to Franz Liszt –- Cosima Wagner ( 1837–1930 ) .	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	St. Mary 's Catholic Church ( Sandusky , Ohio )	False
B_ORG I_ORG I_ORG I_ORG I_ORG O	Shhh ... Do n't Tell ''	False
B_PER I_PER O O O	Antonín Rýgr ( 1970–72 )	False
O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O O	*Inducted into the United States Hockey Hall of Fame in 2015	False
B_PER I_PER B_PER I_PER B_PER I_PER B_PER I_PER	Dia Evtimova Catalina Castaño Dinah Pfizenmaier Tatjana Malek	False
O O B_ORG I_ORG O B_ORG	102.7 MHz Triple J – ABC	False
O B_ORG I_ORG I_ORG I_ORG	*20px Idaho State Highway 5	False
O B_LOC O O O O	'' Atelocentra '' Meyrick , 1884	False
O O B_LOC I_LOC O O	' '' Antarctic prion '' '	False
B_PER I_PER O O O	James Franco ( M.F.A .	False
B_PER I_PER I_PER I_PER I_PER I_PER I_PER I_PER I_PER	Prince Albert Victor , Duke of Clarence and Avondale	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O	How to Get Away with Murder ''	False
B_LOC I_LOC I_LOC	Durrães e Tregosa	False
B_ORG I_ORG I_ORG I_ORG	Brent Cross tube station	False
O O O O B_LOC I_LOC I_LOC I_LOC O O O O O O	First recorded in the Serranía de las Quinchas on January 17 , 2006 .	False
B_ORG I_ORG I_ORG	Civic Freedom Party	False
O O B_LOC I_LOC O O O O O O	キイロキリガ — Xanthia togata '' ( Esper , 1788 )	False
O O O B_PER I_PER	*August 8 – Craig Breslow	False
O O O O O B_ORG I_ORG I_ORG O O	He has also won the Japan Senior Open twice .	False
O O O O B_PER I_PER O	His great-grandson is director Whit Stillman .	False
O O O B_ORG O O O	'' ' '' Chauliodus '' ' ''	False
O O B_PER I_PER I_PER	Janaki]] , S. P. Balasubrahmanyam	False
O O O B_ORG I_ORG O O O B_ORG I_ORG O O	en:: ' '' Thornhill Islanders '' ' defeated Markham Waxers ''4-games-to-3 ''	False
O O B_PER I_PER O	Obituary of Juliette Peirce .	False
O O O B_LOC O	78 '' in Osnabrück .	False
B_PER I_PER I_PER	Gian Girolamo Albani	False
O B_ORG I_ORG O O B_PER I_PER O O O	`` Rhinestone Cowboy '' ( Larry Weiss ) - en:3:15	False
O O O B_PER I_PER	*Episode 9 - Michael Conlan	False
B_PER I_PER O O O	Antawn Jamison ( 28 )	False
B_ORG I_ORG O O O O O B_ORG I_ORG O	Chillicothe Paints ( 1993–2008 , joined the Prospect League )	False
B_PER I_PER I_PER I_PER	Antoine Dadin de Hauteserre	False
O O O O O O O O B_PER I_PER O O O	en:: ' '' Fifth Brother ( portrayed by Philip Anthony-Rodriguez ) ' ''	False
B_ORG I_ORG I_ORG	Château de Champs-sur-Marne	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Secretary-General of the United Nations	False
O O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O O O O	1978 demo released on Off the Wall ( Special Edition ) '' ( 2001 )	False
B_LOC I_LOC I_LOC I_LOC O O O B_LOC I_LOC I_LOC I_LOC O	North Fanling New Town ( Extension of Fanling-Sheung Shui New Town )	False
B_PER I_PER O O O O	Carina Witthöft , 6–3 , 7–5	False
O O O B_LOC I_LOC	File en:: CCStaClara.JPG|Through Santa Clara	False
B_LOC I_LOC I_LOC	Eveno-Bytantaysky National District	False
O B_ORG I_ORG O O O O O O	'' Euxoa centralis '' ( Staudinger , 1889 )	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Diocese of San Andrés Tuxtla	False
B_LOC I_LOC I_LOC I_LOC	Palisades , New York	False
B_PER I_PER O O O O	Rosephanye Powell ( born 1962 )	False
B_LOC I_LOC I_LOC I_LOC	Chum Ta Bong District	False
B_ORG O B_ORG I_ORG I_ORG O	Epica – Consign to Oblivion ''	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	List of Flywheel , Shyster , and Flywheel ( 1990 radio series ) episodes	False
O B_LOC I_LOC O O O O O O	'' Epirrhoe rivata '' ( Hübner , 1813 )	False
O O B_ORG I_ORG I_ORG O O	** '' Justice League Elite '' en::	False
O O O O B_LOC O	It is found in Peru .	False
O B_LOC O O O O O O	** Ecuador en:: 7 % of the population	False
O O B_ORG O B_LOC I_LOC I_LOC I_LOC	Translator of KCCV-FM , Overland Park , Kansas	False
O B_PER I_PER O	Mrs Brigitte Vallée .	False
B_LOC I_LOC I_LOC I_LOC	Lipiny , Ciechanów County	False
B_PER I_PER O B_PER I_PER	Tatiana Volosozhar / Maxim Trankov	False
B_LOC I_LOC I_LOC I_LOC I_LOC I_LOC	Raymerville – Markville East , Ontario	False
B_PER I_PER I_PER I_PER I_PER I_PER O O O	Robert Maxwell , 5th Lord Maxwell ( 1493–1546 )	False
B_PER I_PER I_PER I_PER I_PER O O O O O O O	Prince Rupert of the Rhine 15 August 1672 – 19 November 1682	False
B_ORG I_ORG I_ORG	Železničná spoločnosť Slovensko	False
O O O O O O O O O O O O O B_LOC O O O	On February 6 , 1925 he retired from active duty and died in Santiago in 1938 .	False
O O O O O O O O O B_ORG I_ORG I_ORG O O O O O	The 67 's finished in last place in the 2012–13 OHL season with just 16 wins .	False
B_ORG I_ORG I_ORG O O O	Internet Exchange Point ( IXP )	False
O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O	`` Suzukake no Ki no Michi de `` Kimi no Hohoemi o Yume ni Miru '' to Itte Shimattara Bokutachi no Kankei wa Dō Kawatte Shimau no ka , Bokunari ni Nan-nichi ka Kangaeta Ue de no Yaya Kihazukashii Ketsuron no Yō na Mono ''	False
O O O O O O O O O O O B_ORG I_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O B_PER I_PER O B_PER I_PER O O O	It was released as the first single from their 2004 album Everybody Loves a Happy Ending '' and is the first single that features both original members Roland Orzabal and Curt Smith since 1990 .	False
O O B_PER I_PER O	Conservative]] Leader David Cameron )	False
O O O O O O O B_LOC I_LOC I_LOC O O O O	Much of the story takes place in Flagstaff , Arizona , where Sgt .	False
O B_ORG I_ORG O O B_ORG	'' Invisible Touch '' – Genesis	False
B_PER I_PER I_PER I_PER	United States Senate Librarian	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O	Live at Sin-é ( Legacy Edition ) ''	False
O O B_LOC O O O O O B_LOC O O	' '' Calgary '' ' , ' '' Canada '' '	False
O O B_PER I_PER O O B_PER I_PER	*2001 – Hugh Hefner , Roastmaster Jimmy Kimmel	False
B_ORG I_ORG I_ORG	Aigle Noir AC	False
B_LOC I_LOC I_LOC I_LOC I_LOC	Hathaways Mountain Pines , California	False
B_PER I_PER I_PER	Peter T. King	False
B_PER I_PER O B_ORG I_ORG I_ORG	Charlie Clouser – Nine Inch Nails	False
B_ORG I_ORG I_ORG I_ORG I_ORG O B_LOC	Former collegiate church St Bartholomew , Liège	False
O O O O O O O O B_PER I_PER O B_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O	It was created on 28 January 1831 for Standish O'Grady , Attorney-General for Ireland and Lord Chief Baron of the Exchequer for Ireland .	False
B_LOC I_LOC I_LOC	Zlaté Moravce District	False
B_PER I_PER I_PER I_PER	Wilhelm Gustav Franz Herter	False
B_LOC I_LOC I_LOC	Thomasville , Missouri	False
B_ORG I_ORG O O O	Clement Poitrenaud , 14 .	False
B_LOC O B_LOC I_LOC O B_LOC O B_LOC I_LOC O B_LOC O B_LOC O B_LOC O B_LOC	Yahn | Yazdan Chah | Yegi | Yekkeh Derakht | Yosht | Yusefabad | Yush | Yushu	False
B_ORG I_ORG I_ORG I_ORG	1982 Tour de France	False
